Country,GDP
IDA total,2140704517320.0
IDA blend,984095717019.0
Indonesia,931877364038.0
IDA only,1156608800301.0
Isle of Man,6846377563.0
India,2294796885664.0
Ireland,298559265006.0
"Iran, Islamic Rep.",457954614594.0
Iraq,166743557748.0
Iceland,20793168031.0
Israel,322102790387.0
Italy,1877071687634.0
Jamaica,14077096677.0
Jordan,39892551127.0
Japan,5003677627544.0
Kazakhstan,137278320084.0
Kenya,74815144164.0
Kyrgyz Republic,6813095379.0
Cambodia,20016747858.0
Kiribati,206658568.8
St. Kitts and Nevis,1006818519.0
"Korea, Rep.",1499679823910.0
Kuwait,109406674088.0
Latin America & Caribbean (excluding high income),4496975505131.0
Lao PDR,15912501723.0
Lebanon,51147308774.0
Liberia,3398419600.0
Libya,49912073701.0
St. Lucia,1868544444.0
Latin America & Caribbean,5283310849435.0
Least developed countries: UN classification,936561647193.0
Low income,383741508245.0
Liechtenstein,6237302034.0
Sri Lanka,88012282206.0
Lower middle income,5297558624292.0
Low & middle income,25586586836480.0
Lesotho,2114426454.0
Late-demographic dividend,18593573738109.0
Lithuania,43047309306.0
Luxembourg,62216885436.0
Latvia,28083597512.0
"Macao SAR, China",45070808689.0
Morocco,111572947005.0
Monaco,6465645585.0
Moldova,7980917076.0
Madagascar,11848613858.0
Maldives,4409942624.0
Middle East & North Africa,3234258578074.0
Mexico,1112233497453.0
Marshall Islands,200900711.1
Middle income,25202592678136.0
North Macedonia,10672467073.0
Mali,14026048336.0
Malta,11668015566.0
Myanmar,63298361996.0
Middle East & North Africa (excluding high income),1496714718330.0
Montenegro,4376930578.0
Mongolia,11181350649.0
Northern Mariana Islands,1230000000.0
Mozambique,12069051237.0
Mauritania,6398747592.0
Mauritius,12594155464.0
Malawi,7909868618.0
Malaysia,301256033870.0
North America,20339807652907.0
Namibia,10722018732.0
New Caledonia,8724568955.0
Niger,10398861982.0
Nigeria,404649125252.0
Nicaragua,13286118584.0
Netherlands,784060430240.0
Norway,370956547619.0
Nepal,24524109484.0
Nauru,97541943.04
New Zealand,188898209220.0
OECD members,48460554255215.0
Oman,75128738622.0
Other small states,159200150156.0
Pakistan,313630000130.0
Panama,57907700000.0
Peru,191898104390.0
Philippines,318627003013.0
Palau,305404174.8
Papua New Guinea,20758876953.0
Poland,470024599376.0
Pre-demographic dividend,1163168926724.0
Puerto Rico,104336700000.0
Portugal,206426152309.0
Paraguay,36089700223.0
West Bank and Gaza,15405400000.0
Pacific island small states,9532201526.0
Post-demographic dividend,45693398993292.0
French Polynesia,5497036477.0
Qatar,151732181868.0
Romania,185287630540.0
Russian Federation,1276786350881.0
Rwanda,8695272095.0
South Asia,3011037037668.0
Saudi Arabia,666000000000.0
Sudan,42630376000.0
Senegal,19040312333.0
Singapore,319053943915.0
Solomon Islands,1379490304.0
Sierra Leone,3862721266.0
El Salvador,24191430000.0
San Marino,1468342431.0
Somalia,7390796617.0
Serbia,40692661657.0
Sub-Saharan Africa (excluding high income),1520442531815.0
Sub-Saharan Africa,1522011045163.0
Small states,202183604189.0
Sao Tome and Principe,292267272.2
Suriname,3317421648.0
Slovak Republic,89952699525.0
Slovenia,44766722791.0
Sweden,515654671470.0
Eswatini,3816019193.0
Sint Maarten (Dutch part),1427017207.0
Seychelles,1568513348.0
Syrian Arab Republic,12597854884.0
Turks and Caicos Islands,1032452000.0
Chad,10097778098.0
East Asia & Pacific (IDA & IBRD countries),13597889126599.0
Europe & Central Asia (IDA & IBRD countries),3486198200220.0
Togo,6071170959.0
Thailand,413366349748.0
Tajikistan,6992416097.0
Turkmenistan,36169428571.0
Latin America & the Caribbean (IDA & IBRD countries),5053700630074.0
Timor-Leste,1652603700.0
Middle East & North Africa (IDA & IBRD countries),1481309318330.0
Tonga,420548712.4
South Asia (IDA & IBRD),3011037037668.0
Sub-Saharan Africa (IDA & IBRD countries),1522011045163.0
Trinidad and Tobago,23713671528.0
Tunisia,44360072680.0
Turkiye,869682881593.0
Tuvalu,41629064.22
Tanzania,49774409374.0
Uganda,29203988696.0
Ukraine,93355869404.0
Upper middle income,19905034053844.0
Uruguay,57480788380.0
United States,18804913000000.0
Uzbekistan,86138288644.0
St. Vincent and the Grenadines,814303703.7
Virgin Islands (U.S.),3798000000.0
Viet Nam,257096001178.0
Vanuatu,780889605.9
World,76588030455296.0
Samoa,843924796.7
Kosovo,6682677290.0
"Yemen, Rep.",31317825274.0
South Africa,323585509674.0
Zambia,20958412538.0
Zimbabwe,20548678100.0
